GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
346665430,TicTacToe,0,GAME_OVER,5,4,2,2,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
879079583,TicTacToe,0,GAME_OVER,9,8,2,3,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
-619666105,TicTacToe,0,GAME_OVER,9,8,2,4,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
503938916,TicTacToe,0,GAME_OVER,5,4,2,5,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
-428737539,TicTacToe,0,GAME_OVER,7,6,2,6,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
-1745970416,TicTacToe,0,GAME_OVER,5,4,2,7,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
-1436161366,TicTacToe,0,GAME_OVER,7,6,2,8,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
-1151041315,TicTacToe,0,GAME_OVER,5,4,2,9,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
697067980,TicTacToe,0,GAME_OVER,5,4,2,10,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
1168140970,TicTacToe,0,GAME_OVER,7,6,2,11,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
-1491060889,TicTacToe,0,GAME_OVER,5,4,2,12,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
-1819802610,TicTacToe,0,GAME_OVER,5,4,2,13,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
-2121274456,TicTacToe,0,GAME_OVER,7,6,2,14,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
259280696,TicTacToe,0,GAME_OVER,5,4,2,15,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
1706137030,TicTacToe,0,GAME_OVER,5,4,2,16,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
545138396,TicTacToe,0,GAME_OVER,7,6,2,17,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
1376458976,TicTacToe,0,GAME_OVER,9,8,2,18,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
1195311045,TicTacToe,0,GAME_OVER,5,4,2,19,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
813477029,TicTacToe,0,GAME_OVER,5,4,2,20,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
-1466178614,TicTacToe,0,GAME_OVER,7,6,2,21,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
-118322159,TicTacToe,0,GAME_OVER,5,4,2,22,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
-1428166355,TicTacToe,0,GAME_OVER,7,6,2,23,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
1144294523,TicTacToe,0,GAME_OVER,9,8,2,24,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
2100098225,TicTacToe,0,GAME_OVER,7,6,2,25,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
23994827,TicTacToe,0,GAME_OVER,5,4,2,26,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
1662792176,TicTacToe,0,GAME_OVER,9,8,2,27,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
2013120665,TicTacToe,0,GAME_OVER,7,6,2,28,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
-1880183632,TicTacToe,0,GAME_OVER,5,4,2,29,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
-1377239692,TicTacToe,0,GAME_OVER,5,4,2,30,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
1795532617,TicTacToe,0,GAME_OVER,5,4,2,31,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
-1548656463,TicTacToe,0,GAME_OVER,5,4,2,32,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
-653656736,TicTacToe,0,GAME_OVER,5,4,2,33,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
-400394132,TicTacToe,0,GAME_OVER,7,6,2,34,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
-1422203009,TicTacToe,0,GAME_OVER,9,8,2,35,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
-1113178468,TicTacToe,0,GAME_OVER,5,4,2,36,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
-175367348,TicTacToe,0,GAME_OVER,9,8,2,37,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
1362911089,TicTacToe,0,GAME_OVER,7,6,2,38,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
-347120262,TicTacToe,0,GAME_OVER,9,8,2,39,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
1416514647,TicTacToe,0,GAME_OVER,7,6,2,40,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
-1570736736,TicTacToe,0,GAME_OVER,7,6,2,41,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
-1532681659,TicTacToe,0,GAME_OVER,5,4,2,42,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
2038358424,TicTacToe,0,GAME_OVER,5,4,2,43,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
1950377550,TicTacToe,0,GAME_OVER,5,4,2,44,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
-389679841,TicTacToe,0,GAME_OVER,5,4,2,45,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
-1652369011,TicTacToe,0,GAME_OVER,5,4,2,46,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
649728961,TicTacToe,0,GAME_OVER,9,8,2,47,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
1939385821,TicTacToe,0,GAME_OVER,5,4,2,48,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
-765151654,TicTacToe,0,GAME_OVER,5,4,2,49,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
-382843140,TicTacToe,0,GAME_OVER,7,6,2,50,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
1616233144,TicTacToe,0,GAME_OVER,7,6,2,51,2,BasicMCTS,2,1,1,random,BasicMCTS,-1.0,1.0,random,random,BasicMCTS,0
346665430,TicTacToe,0,GAME_OVER,8,7,2,52,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
879079583,TicTacToe,0,GAME_OVER,6,5,2,53,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
-619666105,TicTacToe,0,GAME_OVER,8,7,2,54,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
503938916,TicTacToe,0,GAME_OVER,8,7,2,55,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
-428737539,TicTacToe,0,GAME_OVER,7,6,2,56,2,random,2,1,1,BasicMCTS,random,-1.0,1.0,BasicMCTS,BasicMCTS,random,0
-1745970416,TicTacToe,0,GAME_OVER,6,5,2,57,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
-1436161366,TicTacToe,0,GAME_OVER,7,6,2,58,2,random,2,1,1,BasicMCTS,random,-1.0,1.0,BasicMCTS,BasicMCTS,random,0
-1151041315,TicTacToe,0,GAME_OVER,9,8,2,59,1,random,1,1,1,BasicMCTS,random,0.0,0.0,BasicMCTS,BasicMCTS,random,-1
697067980,TicTacToe,0,GAME_OVER,6,5,2,60,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
1168140970,TicTacToe,0,GAME_OVER,7,6,2,61,2,random,2,1,1,BasicMCTS,random,-1.0,1.0,BasicMCTS,BasicMCTS,random,0
-1491060889,TicTacToe,0,GAME_OVER,8,7,2,62,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
-1819802610,TicTacToe,0,GAME_OVER,6,5,2,63,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
-2121274456,TicTacToe,0,GAME_OVER,8,7,2,64,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
259280696,TicTacToe,0,GAME_OVER,6,5,2,65,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
1706137030,TicTacToe,0,GAME_OVER,7,6,2,66,2,random,2,1,1,BasicMCTS,random,-1.0,1.0,BasicMCTS,BasicMCTS,random,0
545138396,TicTacToe,0,GAME_OVER,7,6,2,67,2,random,2,1,1,BasicMCTS,random,-1.0,1.0,BasicMCTS,BasicMCTS,random,0
1376458976,TicTacToe,0,GAME_OVER,6,5,2,68,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
1195311045,TicTacToe,0,GAME_OVER,9,8,2,69,1,random,1,1,1,BasicMCTS,random,0.0,0.0,BasicMCTS,BasicMCTS,random,-1
813477029,TicTacToe,0,GAME_OVER,7,6,2,70,2,random,2,1,1,BasicMCTS,random,-1.0,1.0,BasicMCTS,BasicMCTS,random,0
-1466178614,TicTacToe,0,GAME_OVER,6,5,2,71,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
-118322159,TicTacToe,0,GAME_OVER,6,5,2,72,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
-1428166355,TicTacToe,0,GAME_OVER,5,4,2,73,2,random,2,1,1,BasicMCTS,random,-1.0,1.0,BasicMCTS,BasicMCTS,random,0
1144294523,TicTacToe,0,GAME_OVER,8,7,2,74,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
2100098225,TicTacToe,0,GAME_OVER,6,5,2,75,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
23994827,TicTacToe,0,GAME_OVER,8,7,2,76,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
